N,CBLAS,Basic,Blocked B4,Blocked B16
128,1.0,,,
512,1.0,6.355140186915888,3.7316421895861156,2.4252336448598135
2048,1.0,3.4510214772132013,1.92090099528549,2.0754321634363544
